text,label
"Chúc mừng! Bạn đã trúng thưởng một chuyến đi miễn phí đến Hawaii. Nhấp vào đây để nhận giải của bạn.",spam
"QUAN TRỌNG: Tài khoản của bạn đang bị nguy hiểm. Vui lòng cập nhật mật khẩu ngay.",spam
"Loại bỏ mỡ bụng với viên giảm cân kỳ diệu mới của chúng tôi! Ưu đãi thời gian giới hạn.",spam
"Hộp thư của bạn đã được giao. Nhấp vào đây để theo dõi đơn hàng của bạn.",not spam
"Ưu đãi độc quyền: Mua một tặng một miễn phí cho tất cả các sản phẩm trong cửa hàng của chúng tôi ngay hôm nay!",spam
"Nhắc nhở: Lịch hẹn của bạn đã được lên lịch cho ngày mai. Nhấp vào đây để xác nhận.",not spam
"Cơ hội cuối cùng để đăng ký tham dự hội thảo trực tuyến của chúng tôi về các chiến lược marketing số.",not spam
"Tài khoản của bạn đã tạm thời bị treo. Vui lòng xác minh danh tính của bạn.",spam
"Chúc mừng! Bạn đã trúng thưởng một thẻ quà tặng trị giá 1000 đô la. Nhấp vào đây để nhận giải của bạn.",spam
"QUAN TRỌNG: Đăng ký hàng tháng của bạn sẽ tự động gia hạn. Nhấp vào đây để hủy bỏ.",spam
"Cảm ơn bạn về mua hàng gần đây. Đây là một ưu đãi 10% cho đơn hàng tiếp theo của bạn.",not spam
"Dùng thử miễn phí dịch vụ cao cấp của chúng tôi trong 30 ngày. Đăng ký ngay bây giờ!",not spam
"Số dư tài khoản của bạn thấp. Vui lòng nạp tiền để tránh gián đoạn dịch vụ.",spam
"Xin chào bạn, chỉ muốn kiểm tra và xem bạn đang làm thế nào. Hãy kết nối sớm nhé!",not spam
"Mở khóa các lợi ích thành viên độc quyền bằng cách nâng cấp tài khoản của bạn ngay hôm nay.",spam
"Hãy tham gia cùng chúng tôi vào sự kiện bán hàng hàng năm của chúng tôi vào cuối tuần này. Đừng bỏ lỡ cơ hội nhận được những ưu đãi tốt nhất!",not spam
"Mật khẩu của bạn đã được đặt lại thành công. Nhấp vào đây để đăng nhập.",not spam
"Phiếu báo cáo thẻ tín dụng của bạn đã sẵn có. Đăng nhập để xem giao dịch của bạn.",not spam
"Ưu đãi thời gian giới hạn: Mua ngay và tiết kiệm 20% cho lần mua tiếp theo của bạn!",spam
"Chúng tôi đã cập nhật chính sách bảo mật của mình. Nhấp vào đây để xem lại các thay đổi.",not spam
